origin_id,origin_dipslay_name,destination_id,destination_display_name,date_range,mean_travel_time,range_lower,range_upper
"177","1230 Peachtree St NE, Atlanta, GA","601","Census Tract 101.17","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1960,1384,2775
"177","1230 Peachtree St NE, Atlanta, GA","609","Census Tract 101.20","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1755,1252,2459
"177","1230 Peachtree St NE, Atlanta, GA","612","Census Tract 114.19","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2066,1595,2675
"177","1230 Peachtree St NE, Atlanta, GA","617","Census Tract 118","9/1/2019 - 9/30/2019, Weekdays, Daily Average",973,646,1464
"177","1230 Peachtree St NE, Atlanta, GA","618","Census Tract 302.28","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1637,1243,2154
"177","1230 Peachtree St NE, Atlanta, GA","621","Census Tract 403.06","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1474,1066,2037
"177","1230 Peachtree St NE, Atlanta, GA","625","Census Tract 502.08","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2458,1749,3454
"177","1230 Peachtree St NE, Atlanta, GA","626","Census Tract 502.13","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2481,1763,3491
"177","1230 Peachtree St NE, Atlanta, GA","628","Census Tract 404.16","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1674,1243,2254
"177","1230 Peachtree St NE, Atlanta, GA","633","Census Tract 505.29","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2093,1479,2960
"177","1230 Peachtree St NE, Atlanta, GA","635","Census Tract 403.08","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1359,985,1873
"177","1230 Peachtree St NE, Atlanta, GA","636","Census Tract 402.04","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2008,1545,2608
"177","1230 Peachtree St NE, Atlanta, GA","637","Census Tract 404.14","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1491,1127,1971
